model,vs,split,dF1,lo,hi,dFP,dFN,significant
A+C,A,dev,0.0017733219710167614,0.0002526287410688749,0.0047317844888445995,-144,11,True
A+C,A,holdout,0.0013259602513376878,0.000291515077670651,0.0033134279120408893,-103,12,True
A+C,A,full,0.0015597013133521465,0.0004540375485697773,0.003339175853867314,-247,23,True
A+C,C,dev,0.0012902955691618256,0.0007142951233782058,0.0020078341030273675,-31,-64,True
A+C,C,holdout,0.0007529515108912754,0.00039656473076044583,0.0011663919045734356,-31,-20,True
A+C,C,full,0.0010337039529427772,0.0006788163572546468,0.001441193677867414,-62,-84,True
C,A,dev,0.00048302640185493573,-0.0010148752453212006,0.002934780492399728,-113,75,False
C,A,holdout,0.0005730087404464124,-0.00037783092067127376,0.0023669648233224628,-72,32,False
C,A,full,0.0005259973604093693,-0.00048334074109799007,0.002000298774378992,-185,107,False
A+B+C+D,A+C,dev,-9.97366587862647e-06,-0.0005037984755581592,0.00030476532230056544,13,-12,False
A+B+C+D,A+C,holdout,-0.00011413941633242608,-0.0005996053800604945,0.00013720767462781786,17,-9,False
A+B+C+D,A+C,full,-5.972006454935119e-05,-0.0003944671241430192,0.00017020788925610768,30,-21,False
A+C+D,A+C,dev,-2.306901960957841e-05,-0.0005198930741145774,0.00028092813594118307,15,-13,False
A+C+D,A+C,holdout,-0.00011413941633242608,-0.0005996053800604945,0.00013720767462781786,17,-9,False
A+C+D,A+C,full,-6.655634739849425e-05,-0.0004017834957070254,0.00016325581832799812,32,-22,False
C+D,C,dev,0.0006880508797311169,0.00014523682642492988,0.0012533148492972824,13,-63,True
C+D,C,holdout,-0.00015170421435972692,-0.0008055417815177434,0.0002408386351207298,37,-26,False
C+D,C,full,0.0002869559446404546,-0.0001196271357036538,0.0006465512768780407,50,-89,False
A+B,A,dev,-1.65647691652282e-06,-0.00011806591539260391,0.00011995811247124128,-5,5,False
A+B,A,holdout,0.00018940281135426673,-2.514992832103324e-07,0.0005567906580210031,-14,1,False
A+B,A,full,8.955297302748466e-05,-2.6570786917276544e-05,0.0002666250440595292,-19,6,False
A+C,A+B+C,dev,0.0,0.0,0.0,0,0,False
A+C,A+B+C,holdout,0.0,0.0,0.0,0,0,False
A+C,A+B+C,full,0.0,0.0,0.0,0,0,False
